Austria,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,1.  Energy,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,2.  Industrial Processes and Product Use,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,5.  Waste,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Germany,1.  Energy,11.93748873,11.93748873,13.85379258,17.11800775,20.41456847,22.550776,25.58363807,28.92590399,31.42020131,32.8164579,32.34801379,35.4830288,34.05169726,32.88291213,31.59917487,30.10389668,28.02661664,27.04791879,24.98066371,24.38951268,22.85930174,21.49657182,20.71888044,19.38638828,18.93034867,18.14538545,17.27449624,17.34734684,17.30599354
Germany,2.  Industrial Processes and Product Use,19.08464521,19.08464521,14.44769397,13.25359674,12.86396442,12.27716336,14.29293491,14.41899455,13.33891178,13.63485482,14.02264314,14.48320241,13.20876384,13.73498083,13.95084519,13.93950718,13.67231404,15.28159243,13.89746642,13.32750968,12.4811849,12.69840103,13.09715798,13.00658235,12.81798045,12.82635592,12.68729979,12.53491235,12.55938023
Germany,5.  Waste,0.160728,0.160728,0.33633,0.434232,0.532134,0.839752,1.14737,1.454988,1.601508,1.731755478,1.981483356,2.255476288,2.26329099,2.65659806,2.659983849,2.691449656,2.663350645,2.695337654,2.868023025,2.820839186,2.869562497,2.8473086,3.135110752,3.251078666,3.238123955,3.437950147,3.454163382,3.536347598,3.536347598
Germany,6.  Other,724.4509409,724.4509409,643.6892728,630.329776,633.2955034,604.3201974,608.2153558,615.1033645,606.9136758,614.1089714,613.7125804,610.0357718,619.9249016,604.896852,602.8979216,592.9927438,595.1956906,596.8247328,603.7840266,608.1998893,622.3166912,604.261522,634.247475,623.6758689,641.5527167,644.8216439,655.7497174,647.6251202,639.8066145
Greece,1.  Energy,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Greece,2.  Industrial Processes and Product Use,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Greece,5.  Waste,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Greece,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Hungary,1.  Energy,1.547028412,1.915944376,1.890071001,1.894664075,2.025954576,2.090029069,2.221542954,2.206978906,2.198911225,2.304574384,2.448430973,3.996477157,4.621250156,3.101053983,4.269751271,4.025854322,4.297821652,4.407532757,4.685399153,4.108929121,5.478886935,5.944512565,6.660132387,7.175389678,7.257107094,6.177488287,6.679523059,6.615198751,6.25260402
Hungary,2.  Industrial Processes and Product Use,7.681497717,5.444377199,2.492279758,1.219045609,1.086693691,1.295734312,1.007224429,1.587114267,1.301805817,0.939845371,0.644080845,0.747861088,0.558041773,0.417854049,0.306066967,0.362476088,0.544452216,0.585280938,0.482754097,0.327559529,0.341821135,0.265862773,0.364544774,0.349312773,0.396593621,0.454594224,0.289192447,0.376237478,0.432662599
